date,company_id,price,date_created
2020-03-25,46B285BC-B25F-4814-985C-390A4BFA2023,15.0,2020-03-25 01:01:16.7966667
2020-03-26,46B285BC-B25F-4814-985C-390A4BFA2023,19.41,2020-03-26 01:01:16.9866667
2020-03-27,46B285BC-B25F-4814-985C-390A4BFA2023,19.1,2020-03-27 02:45:22.5166667
2020-03-30,46B285BC-B25F-4814-985C-390A4BFA2023,18.4,2020-03-30 01:03:19.1433333
2020-03-31,46B285BC-B25F-4814-985C-390A4BFA2023,18.8,2020-03-31 01:01:12.0433333
2020-04-01,46B285BC-B25F-4814-985C-390A4BFA2023,20.66,2020-04-01 01:01:15.5333333
2020-04-02,46B285BC-B25F-4814-985C-390A4BFA2023,20.15,2020-04-02 01:01:19.0600000
2020-04-03,46B285BC-B25F-4814-985C-390A4BFA2023,19.55,2020-04-03 01:01:20.9833333
2020-04-06,46B285BC-B25F-4814-985C-390A4BFA2023,20.12,2020-04-06 02:01:18.1400000
2020-04-07,46B285BC-B25F-4814-985C-390A4BFA2023,21.06,2020-04-07 02:01:12.7566667
2020-04-08,46B285BC-B25F-4814-985C-390A4BFA2023,19.88,2020-04-08 02:01:18.5333333
2020-04-09,46B285BC-B25F-4814-985C-390A4BFA2023,22.0,2020-04-09 02:01:16.6833333
2020-04-14,46B285BC-B25F-4814-985C-390A4BFA2023,28.4,2020-04-14 02:01:56.0933333
2020-04-15,46B285BC-B25F-4814-985C-390A4BFA2023,27.88,2020-04-15 02:01:20.2433333
2020-04-16,46B285BC-B25F-4814-985C-390A4BFA2023,27.28,2020-04-16 02:01:19.7800000
2020-04-17,46B285BC-B25F-4814-985C-390A4BFA2023,29.0,2020-04-17 02:01:09.4266667
2020-04-20,46B285BC-B25F-4814-985C-390A4BFA2023,29.0,2020-04-20 02:01:03.0966667
2020-04-21,46B285BC-B25F-4814-985C-390A4BFA2023,27.32,2020-04-21 02:00:56.2966667
2020-04-22,46B285BC-B25F-4814-985C-390A4BFA2023,26.57,2020-04-22 02:01:05.3966667
2020-04-23,46B285BC-B25F-4814-985C-390A4BFA2023,27.15,2020-04-23 02:00:23.6666667
2020-04-24,46B285BC-B25F-4814-985C-390A4BFA2023,27.01,2020-04-24 02:00:16.1366667
2020-04-27,46B285BC-B25F-4814-985C-390A4BFA2023,27.75,2020-04-27 02:04:19.7533333
2020-04-28,46B285BC-B25F-4814-985C-390A4BFA2023,28.31,2020-04-28 02:04:39.4400000
2020-04-29,46B285BC-B25F-4814-985C-390A4BFA2023,28.15,2020-04-29 02:00:28.8400000
2020-04-30,46B285BC-B25F-4814-985C-390A4BFA2023,31.2,2020-04-30 02:00:26.0533333
2020-05-01,46B285BC-B25F-4814-985C-390A4BFA2023,29.16,2020-05-01 02:00:29.4166667
2020-05-04,46B285BC-B25F-4814-985C-390A4BFA2023,36.1,2020-05-04 02:00:58.1033333
2020-05-05,46B285BC-B25F-4814-985C-390A4BFA2023,38.18,2020-05-05 02:00:48.8100000
2020-05-06,46B285BC-B25F-4814-985C-390A4BFA2023,39.8,2020-05-06 02:01:00.8733333
2020-05-07,46B285BC-B25F-4814-985C-390A4BFA2023,39.5,2020-05-07 02:00:48.8200000
2020-05-08,46B285BC-B25F-4814-985C-390A4BFA2023,39.88,2020-05-08 02:00:56.1100000
2020-05-11,46B285BC-B25F-4814-985C-390A4BFA2023,42.17,2020-05-11 02:01:35.3000000
2020-05-12,46B285BC-B25F-4814-985C-390A4BFA2023,41.68,2020-05-12 02:01:07.4500000
2020-05-13,46B285BC-B25F-4814-985C-390A4BFA2023,43.46,2020-05-13 02:00:32.0333333
2020-05-14,46B285BC-B25F-4814-985C-390A4BFA2023,41.65,2020-05-14 02:00:37.5266667
2020-05-15,46B285BC-B25F-4814-985C-390A4BFA2023,41.2,2020-05-15 02:01:55.5000000
2020-05-18,46B285BC-B25F-4814-985C-390A4BFA2023,42.31,2020-05-18 02:01:07.3300000
2020-05-19,46B285BC-B25F-4814-985C-390A4BFA2023,42.0,2020-05-19 02:01:03.5333333
2020-05-20,46B285BC-B25F-4814-985C-390A4BFA2023,42.89,2020-05-20 02:01:21.7100000
2020-05-21,46B285BC-B25F-4814-985C-390A4BFA2023,44.0,2020-05-21 02:00:56.3700000
2020-05-22,46B285BC-B25F-4814-985C-390A4BFA2023,44.51,2020-05-22 02:00:54.2566667
2020-03-25,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.3,2020-03-25 01:01:33.0966667
2020-03-26,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.67,2020-03-26 01:01:29.3333333
2020-03-27,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,29.03,2020-03-27 02:45:42.0833333
2020-03-30,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.2,2020-03-30 01:03:47.7566667
2020-03-31,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,28.98,2020-03-31 01:01:27.7966667
2020-04-01,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.23,2020-04-01 01:01:30.5000000
2020-04-02,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,29.85,2020-04-02 01:01:35.1933333
2020-04-03,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.33,2020-04-03 01:01:34.0566667
2020-04-06,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.79,2020-04-06 02:01:34.7433333
2020-04-07,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.7,2020-04-07 02:01:25.2533333
2020-04-08,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.32,2020-04-08 02:01:35.5200000
2020-04-09,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.5,2020-04-09 02:01:35.0633333
2020-04-14,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.66,2020-04-14 02:02:59.0000000
2020-04-15,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.43,2020-04-15 02:01:38.6800000
2020-04-16,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.79,2020-04-16 02:01:40.2300000
2020-04-17,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.28,2020-04-17 02:01:21.8166667
2020-04-20,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.82,2020-04-20 02:01:24.7433333
2020-04-21,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.05,2020-04-21 02:01:21.4566667
2020-04-22,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,28.97,2020-04-22 02:01:27.0300000
2020-04-23,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,29.75,2020-04-23 02:00:42.3600000
2020-04-24,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.54,2020-04-24 02:00:34.3666667
2020-04-27,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.5,2020-04-27 02:04:35.8766667
2020-04-28,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.49,2020-04-28 02:04:53.5933333
2020-04-29,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.12,2020-04-29 02:00:43.5700000
2020-04-30,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,32.35,2020-04-30 02:00:37.6933333
2020-05-01,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,29.84,2020-05-01 02:00:52.1200000
2020-05-04,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,29.88,2020-05-04 02:01:20.8200000
2020-05-05,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.69,2020-05-05 02:01:12.2200000
2020-05-06,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.41,2020-05-06 02:01:23.0800000
2020-05-07,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.0,2020-05-07 02:01:10.7633333
2020-05-08,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.4,2020-05-08 02:01:22.5800000
2020-05-11,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.55,2020-05-11 02:01:51.7166667
2020-05-12,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.72,2020-05-12 02:01:29.0300000
2020-05-13,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.01,2020-05-13 02:00:52.0466667
2020-05-14,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,30.61,2020-05-14 02:00:55.7433333
2020-05-15,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,31.67,2020-05-15 02:02:20.8500000
2020-05-18,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,33.1,2020-05-18 02:01:16.4200000
2020-05-19,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,35.05,2020-05-19 02:01:14.0500000
2020-05-20,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,34.72,2020-05-20 02:01:51.7800000
2020-05-21,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,34.51,2020-05-21 02:01:08.3633333
2020-05-22,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,34.32,2020-05-22 02:01:05.0566667
2020-03-25,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.16,2020-03-25 01:01:46.7300000
2020-03-26,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.16,2020-03-26 01:01:42.5566667
2020-03-27,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.04,2020-03-27 02:45:55.3933333
2020-03-30,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.25,2020-03-30 01:04:08.4733333
2020-03-31,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.07,2020-03-31 01:01:41.0466667
2020-04-01,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.2,2020-04-01 01:01:43.9333333
2020-04-02,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.16,2020-04-02 01:01:50.5000000
2020-04-03,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.11,2020-04-03 01:01:46.0766667
2020-04-06,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.2,2020-04-06 02:01:46.8600000
2020-04-07,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.13,2020-04-07 02:01:39.5700000
2020-04-08,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.1,2020-04-08 02:01:50.8433333
2020-04-09,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.14,2020-04-09 02:01:50.9300000
2020-04-14,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.16,2020-04-14 02:03:59.9500000
2020-04-15,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.12,2020-04-15 02:01:58.7433333
2020-04-16,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.15,2020-04-16 02:01:56.7766667
2020-04-17,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.16,2020-04-17 02:01:42.0733333
2020-04-20,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.09,2020-04-20 02:01:39.2033333
2020-04-21,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.04,2020-04-21 02:01:37.1700000
2020-04-22,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.03,2020-04-22 02:01:42.2400000
2020-04-23,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.02,2020-04-23 02:00:56.8766667
2020-04-24,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.05,2020-04-24 02:00:50.5733333
2020-04-27,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.08,2020-04-27 02:04:48.7500000
2020-04-28,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.07,2020-04-28 02:05:04.8700000
2020-04-29,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.05,2020-04-29 02:00:53.0000000
2020-04-30,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.05,2020-04-30 02:00:49.3933333
2020-05-01,FC7B296B-300B-4710-8F84-D68A5BFBC75B,2.99,2020-05-01 02:01:11.3333333
2020-05-04,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.08,2020-05-04 02:01:40.8600000
2020-05-05,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.09,2020-05-05 02:01:28.7600000
2020-05-06,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.06,2020-05-06 02:01:39.5433333
2020-05-07,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.06,2020-05-07 02:01:24.7300000
2020-05-08,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.03,2020-05-08 02:01:41.2200000
2020-05-11,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.07,2020-05-11 02:02:03.0366667
